id,nombre,email,password,rol_id,activo,creado_en,telefono,departamento
1,Usuario 1,usuario1@uteq.edu.mx,hash1,1,True,01/01/2026,4424037793,TI
2,Usuario 2,usuario2@uteq.edu.mx,hash2,1,True,01/01/2026,4424798839,Administracion
3,Usuario 3,usuario3@uteq.edu.mx,hash3,1,True,01/01/2026,4421259318,Energias Renovables
4,Usuario 4,usuario4@uteq.edu.mx,hash4,1,True,01/01/2026,N/A,TI
5,Usuario 5,usuario5@gmail.com,hash5,1,True,01/01/2026,4422160916,Mecatronica
6,Usuario 6,usuario6@uteq.edu.mx,hash6,1,True,01/01/2026,4427046995,Mecatronica
7,Usuario 7,usuario7@uteq.edu.mx,hash7,1,True,01/01/2026,4421546524,Mecatronica
8,Usuario 8,usuario8@uteq.edu.mx,hash8,1,True,01/01/2026,,Industrial
9,Usuario 9,usuario9@uteq.edu.mx,hash9,1,True,01/01/2026,4427193773,Industrial
10,Usuario 10,usuario10@uteq.edu.mx,hash10,1,True,01/01/2026,4424263536,Energias Renovables
11,Usuario 11,usuario11@uteq.edu.mx,hash11,2,True,01/01/2026,4426070885,Industrial
12,Usuario 12,usuario12uteq.edu.mx,hash12,2,True,01/01/2026,4427376109,Energias Renovables
13,Usuario 13,usuario13@uteq.edu.mx,hash13,2,True,01/01/2026,4421395620,TI
14,Usuario 14,usuario14@uteq.edu.mx,hash14,2,True,01/01/2026,4423687585,Industrial
15,Usuario 15,usuario15@uteq.edu.mx,hash15,2,True,01/01/2026,4421571902,Administracion
16,Usuario 16,usuario16@uteq.edu.mx,hash16,2,True,01/01/2026,,TI
17,Usuario 17,usuario17@uteq.edu.mx,hash17,2,True,01/01/2026,4425339540,TI
18,Usuario 18,usuario18@uteq.edu.mx,hash18,2,True,01/01/2026,4429007254,TI
19,Usuario 19,usuario19@uteq.edu.mx,hash19,2,True,01/01/2026,4429932505,Administracion
20,Usuario 20,usuario20@uteq.edu.mx,hash20,2,True,01/01/2026,no disponible,Administracion
21,Usuario 21,usuario21@uteq.edu.mx,hash21,2,True,01/01/2026,4424641221,Administracion
22,Usuario 22,usuario22@uteq.edu.mx,hash22,2,True,01/01/2026,4423142229,TI
23,Usuario 23,usuario23@hotmail.com,hash23,2,True,01/01/2026,4421485933,Industrial
24,Usuario 24,usuario24@uteq.edu.mx,hash24,2,True,01/01/2026,4424889073,TI
25,Usuario 25,usuario25@uteq.edu.mx,hash25,2,True,01/01/2026,4428734926,Energias Renovables
